FlossId,StandardName,Color
1,01,White Tin
2,02,Tin
3,03,Medium Tin
4,04,Dark Tin
5,05,Light Driftwood
6,06,Medium Light Driftwood
7,07,Driftwood
8,08,Dark Driftwood
9,09,Very Dark Cocoa
10,10,Very Light Tender Green
11,11,Light Tender Green
12,12,Tender Green
13,13,Medium Light Nile Green
14,14,Pale Apple Green
15,15,Apple Green
16,16,Light Chartreuse
17,17,Light Yellow Plum
18,18,Yellow Plum
19,19,Medium Light Autumn Gold
20,20,Shrimp
21,21,Light Alizarin
22,22,Alizarin
23,23,Apple Blossom
24,24,White Lavender
25,25,Ultra Light Lavender
26,26,Pale Lavender
27,27,White Violet
28,28,Medium Light Eggplant
29,29,Eggplant
30,30,Medium Light Blueberry
31,31,Blueberry
32,32,Dark Blueberry
33,33,Fuchsia
34,34,Dark Fuchsia
35,35,Very Dark Fuchsia
36,150,Ultra Very Dark Dusty Rose
37,151,Very Light Dusty Rose
38,152,Medium Light Shell Pink
39,153,Very Light Violet
40,154,Very Dark Grape
41,155,Medium Dark Blue Violet
42,156,Medium Light Blue Violet
43,157,Very Light Cornflower Blue
44,158,Medium Very Dark Cornflower Blue
45,159,Light Gray Blue
46,160,Medium Gray Blue
47,161,Gray Blue
48,162,Ultra Very Light Blue
49,163,Medium Caledon Green
50,164,Light Forest Green
51,165,Very Light Moss Green
52,166,Medium Light Moss Green
53,167,Very Dark Yellow Beige
54,168,Very Light Pewter
55,169,Light Pewter
56,208,Very Dark Lavender
57,209,Dark Lavender
58,210,Medium Lavender
59,211,Light Lavender
60,221,Very Dark Shell Pink
61,223,Light Shell Pink
62,224,Very Light Shell Pink
63,225,Ultra Very Light Shell Pink
64,300,Very Dark Mahogany
65,301,Medium Mahogany
66,304,Medium Red
67,307,Lemon
68,309,Ultra Very Dark Rose
69,310,Black
70,311,Medium Navy Blue
71,312,Very Dark Baby Blue
72,315,Medium Dark Antique Mauve
73,316,Medium Antique Mauve
74,317,Pewter Gray
75,318,Light Steel Gray
76,319,Very Dark Pistachio Green
77,320,Medium Pistachio Green
78,321,Red
79,322,Dark Baby Blue
80,326,Very Dark Rose
81,327,Dark Violet
82,333,Very Dark Blue Violet
83,334,Medium Baby Blue
84,335,Rose
85,336,Navy Blue
86,340,Medium Blue Violet
87,341,Light Blue Violet
88,347,Very Dark Salmon
89,349,Dark Coral
90,350,Medium Coral
91,351,Coral
92,352,Light Coral
93,353,Peach
94,355,Dark Terra Cotta
95,356,Medium Terra Cotta
96,367,Dark Pistachio Green
97,368,Light Pistachio Green
98,369,Very Light Pistachio Green
99,370,Medium Mustard
100,371,Mustard
101,372,Light Mustard
102,400,Dark Mahogany
103,402,Very Light Mahogany
104,407,Dark Desert Sand
105,413,Dark Pewter Gray
106,414,Dark Steel Gray
107,415,Pearl Gray
108,420,Dark Hazelnut Brown
109,422,Light Hazelnut Brown
110,433,Medium Brown
111,434,Light Brown
112,435,Very Light Brown
113,436,Tan
114,437,Light Tan
115,444,Dark Lemon
116,445,Light Lemon
117,451,Dark Shell Gray
118,452,Medium Shell Gray
119,453,Light Shell Gray
120,469,Avocado Green
121,470,Light Avocado Green
122,471,Very Light Avocado Green
123,472,Ultra Light Avocado Green
124,498,Dark Red
125,500,Very Dark Blue Green
126,501,Dark Blue Green
127,502,Blue Green
128,503,Medium Blue Green
129,504,Very Light Blue Green
130,505,Jade Green
131,517,Dark Wedgwood
132,518,Light Wedgwood
133,519,Sky Blue
134,520,Dark Fern Green
135,522,Fern Green
136,523,Light Fern Green
137,524,Very Light Fern Green
138,535,Very Light Ash Gray
139,543,Ultra Very Light Beige
140,550,Very Dark Violet
141,552,Medium Violet
142,553,Violet
143,554,Light Violet
144,561,Very Dark Jade
